iter	Passed	Remaining
245	384	1179
246	385	1176
247	386	1172
248	387	1168
249	388	1165
250	389	1161
251	390	1157
252	390	1154
253	391	1150
254	393	1148
255	394	1145
256	395	1142
257	395	1138
258	396	1135
259	397	1132
260	398	1129
261	399	1126
262	400	1123
263	401	1119
264	402	1116
265	403	1113
266	404	1110
267	405	1106
268	406	1104
269	407	1102
270	408	1098
271	409	1095
272	410	1092
273	411	1089
274	412	1086
275	413	1083
276	414	1081
277	415	1078
278	416	1075
279	417	1072
280	418	1069
281	419	1067
282	420	1065
283	421	1062
284	422	1060
285	423	1058
286	424	1055
287	426	1053
288	427	1050
289	428	1047
290	428	1045
291	429	1042
292	430	1039
293	431	1037
294	432	1034
295	433	1031
296	434	1028
297	435	1026
298	436	1023
299	437	1021
300	439	1019
301	440	1016
302	441	1014
303	442	1013
304	443	1010
305	444	1007
306	445	1005
307	446	1002
308	447	999
309	447	997
310	448	994
311	449	991
312	450	988
313	451	986
314	452	984
315	453	981
316	454	979
317	455	976
318	456	974
319	457	971
320	458	969
321	459	966
322	459	963
323	460	961
324	461	959
325	462	956
326	463	954
327	464	951
328	465	948
329	466	946
330	467	944
331	468	942
332	469	939
333	470	937
334	471	935
335	471	932
336	472	930
337	473	927
338	474	925
339	475	922
340	476	920
341	477	917
342	477	915
343	478	913
344	479	910
345	480	908
346	481	905
347	482	904
348	483	901
349	484	899
350	485	897
351	486	895
352	487	892
353	487	890
354	488	887
355	489	885
356	490	883
357	491	880
358	492	878
359	493	876
360	494	874
361	494	872
362	495	870
363	497	869
364	498	868
365	499	865
366	500	863
367	501	861
368	502	859
369	503	856
370	504	854
371	504	852
372	505	850
373	506	848
374	507	845
375	508	843
376	509	841
377	510	839
378	511	837
379	512	835
380	513	833
381	513	831
382	514	829
383	515	827
384	516	825
385	517	823
386	518	821
387	519	818
388	520	816
389	520	814
390	521	812
391	522	810
392	523	808
393	524	806
394	525	805
395	526	802
396	527	801
397	528	799
398	529	797
399	530	795
400	531	793
401	532	792
402	533	790
403	534	788
404	535	786
405	536	784
406	537	782
407	537	780
408	538	778
409	540	777
410	541	775
411	542	774
412	543	772
413	544	771
414	545	769
415	546	767
416	547	765
417	548	763
418	549	761
419	550	760
420	551	758
421	552	756
422	553	754
423	553	752
424	554	750
425	555	748
426	556	746
427	557	745
428	558	743
429	559	741
430	560	739
431	561	737
432	562	735
433	563	734
434	563	732
435	564	730
436	565	728
437	566	727
438	567	725
439	568	723
440	569	721
441	570	720
442	571	718
443	572	717
444	573	715
445	574	714
446	575	712
447	576	710
448	577	708
449	578	706
450	579	705
451	580	703
452	581	701
453	582	699
454	583	698
455	584	696
456	585	695
457	586	693
458	587	691
459	587	690
460	588	688
461	589	686
462	590	684
463	591	683
464	592	681
465	593	679
466	594	678
467	595	676
468	596	674
469	597	673
470	598	671
471	599	670
472	600	668
473	601	667
474	602	665
475	603	663
476	603	662
477	604	660
478	605	658
479	606	657
